Emp_id,Age,Employment Type,GraduateOrNot,AnnualIncome,FrequentFlyer,EverTravelledAbroad,TravelInsurance
111,31,Government Sector,Yes,400000,No,No,0
112,31,Private Sector/Self Employed,Yes,1250000,No,No,0
113,34,Private Sector/Self Employed,Yes,500000,No,No,1
114,28,Private Sector/Self Employed,Yes,700000,No,No,0
115,28,Private Sector/Self Employed,Yes,700000,Yes,No,0
116,25,Private Sector/Self Employed,No,1150000,No,No,0
117,31,Government Sector,Yes,1300000,No,No,0
118,31,Private Sector/Self Employed,Yes,1350000,Yes,Yes,1
119,28,Private Sector/Self Employed,Yes,1450000,Yes,Yes,1
120,33,Government Sector,Yes,800000,Yes,No,0
121,31,Government Sector,Yes,400000,No,No,0
122,26,Private Sector/Self Employed,Yes,1400000,Yes,Yes,1
123,32,Government Sector,Yes,850000,No,No,1
124,31,Government Sector,Yes,1500000,Yes,Yes,1
125,31,Government Sector,Yes,400000,No,No,0
126,34,Private Sector/Self Employed,Yes,700000,No,No,0
127,28,Private Sector/Self Employed,Yes,1150000,No,No,0
128,28,Private Sector/Self Employed,Yes,800000,No,No,1
129,29,Private Sector/Self Employed,Yes,1050000,No,No,1
130,34,Private Sector/Self Employed,Yes,1500000,Yes,Yes,1
131,28,Private Sector/Self Employed,Yes,1150000,Yes,No,0
132,29,Private Sector/Self Employed,Yes,350000,No,No,1
133,31,Private Sector/Self Employed,Yes,1100000,No,No,0
134,28,Government Sector,Yes,600000,No,No,1
135,31,Government Sector,Yes,1500000,Yes,Yes,0
136,35,Private Sector/Self Employed,No,800000,No,Yes,0
137,34,Private Sector/Self Employed,No,1300000,Yes,No,1
138,28,Private Sector/Self Employed,Yes,1250000,Yes,No,0
139,26,Private Sector/Self Employed,Yes,600000,Yes,No,0
140,31,Private Sector/Self Employed,Yes,900000,No,No,0
141,30,Private Sector/Self Employed,No,550000,Yes,Yes,0
142,31,Government Sector,No,300000,No,No,0
143,25,Government Sector,Yes,750000,No,No,1
144,32,Government Sector,Yes,850000,No,No,0
145,28,Private Sector/Self Employed,Yes,800000,No,No,1
146,33,Private Sector/Self Employed,Yes,1400000,Yes,Yes,0
147,31,Government Sector,No,300000,No,No,0
148,34,Private Sector/Self Employed,Yes,700000,No,No,0
149,34,Government Sector,Yes,1100000,No,No,0
150,33,Private Sector/Self Employed,Yes,1500000,Yes,Yes,1
151,25,Private Sector/Self Employed,Yes,1400000,Yes,Yes,1
152,33,Private Sector/Self Employed,Yes,550000,No,No,0
153,26,Private Sector/Self Employed,Yes,1500000,Yes,Yes,1
154,28,Private Sector/Self Employed,Yes,1200000,Yes,No,1
155,25,Private Sector/Self Employed,Yes,1400000,No,Yes,1
156,34,Private Sector/Self Employed,No,1400000,No,Yes,1
157,25,Private Sector/Self Employed,Yes,1400000,No,Yes,1
158,35,Government Sector,Yes,1100000,No,No,0
159,28,Private Sector/Self Employed,Yes,600000,No,No,0
160,31,Private Sector/Self Employed,Yes,1350000,No,Yes,1
161,31,Private Sector/Self Employed,Yes,1250000,No,No,0
162,29,Private Sector/Self Employed,Yes,1050000,No,No,0
163,31,Private Sector/Self Employed,Yes,1250000,No,Yes,0
164,28,Government Sector,Yes,300000,No,No,0
165,29,Private Sector/Self Employed,Yes,1200000,No,No,0
166,26,Private Sector/Self Employed,Yes,750000,No,No,0
167,28,Private Sector/Self Employed,Yes,550000,No,No,1
168,34,Private Sector/Self Employed,Yes,1000000,No,No,1
169,33,Private Sector/Self Employed,Yes,1400000,Yes,Yes,1
170,33,Private Sector/Self Employed,Yes,1400000,Yes,Yes,1
171,31,Private Sector/Self Employed,Yes,1250000,Yes,Yes,0
172,32,Government Sector,Yes,800000,Yes,No,1
173,28,Private Sector/Self Employed,Yes,800000,Yes,No,0
174,27,Government Sector,Yes,500000,No,No,0
175,30,Private Sector/Self Employed,No,1450000,Yes,Yes,1
176,26,Private Sector/Self Employed,Yes,600000,No,No,0
177,30,Private Sector/Self Employed,No,800000,Yes,No,0
178,34,Private Sector/Self Employed,Yes,1500000,Yes,Yes,1
179,29,Private Sector/Self Employed,Yes,350000,No,No,0
180,31,Government Sector,No,300000,No,No,0
181,34,Government Sector,Yes,1300000,No,No,0
182,28,Private Sector/Self Employed,Yes,750000,Yes,No,0
183,28,Private Sector/Self Employed,Yes,800000,Yes,No,0
184,28,Private Sector/Self Employed,Yes,750000,Yes,No,0
185,28,Private Sector/Self Employed,Yes,700000,No,No,0
186,34,Private Sector/Self Employed,Yes,1300000,No,No,0
187,29,Private Sector/Self Employed,Yes,1200000,No,No,1
188,31,Government Sector,No,400000,No,No,0
189,31,Government Sector,Yes,1300000,No,Yes,1
190,31,Government Sector,No,400000,No,No,0
191,26,Private Sector/Self Employed,Yes,1300000,No,No,0
192,25,Private Sector/Self Employed,No,1150000,No,No,0
193,28,Private Sector/Self Employed,Yes,1250000,No,No,0
194,34,Private Sector/Self Employed,No,950000,Yes,No,1
195,32,Government Sector,Yes,350000,No,No,0
196,25,Private Sector/Self Employed,No,1700000,Yes,No,1
197,32,Government Sector,Yes,900000,No,No,0
198,28,Government Sector,Yes,300000,No,No,0
199,34,Private Sector/Self Employed,Yes,1050000,No,No,0
200,28,Government Sector,Yes,300000,No,No,0
201,27,Government Sector,Yes,1050000,No,No,0
202,28,Government Sector,Yes,300000,No,No,0
203,28,Private Sector/Self Employed,Yes,1150000,No,No,0
204,33,Government Sector,Yes,700000,Yes,No,1
205,34,Private Sector/Self Employed,Yes,1300000,No,No,0
206,26,Private Sector/Self Employed,Yes,1400000,No,Yes,1
207,28,Private Sector/Self Employed,Yes,700000,No,No,0
208,29,Private Sector/Self Employed,Yes,350000,No,No,0
209,29,Private Sector/Self Employed,Yes,1100000,No,No,0
210,29,Government Sector,Yes,600000,No,No,0
211,28,Private Sector/Self Employed,Yes,1300000,No,No,1
212,33,Private Sector/Self Employed,Yes,1500000,Yes,Yes,1
213,29,Private Sector/Self Employed,Yes,500000,No,No,0
214,26,Private Sector/Self Employed,Yes,1400000,No,Yes,1
215,28,Private Sector/Self Employed,Yes,1150000,No,No,0
216,28,Private Sector/Self Employed,Yes,750000,No,No,0
217,34,Private Sector/Self Employed,Yes,1300000,No,No,0
218,34,Private Sector/Self Employed,Yes,850000,No,Yes,0
219,26,Private Sector/Self Employed,Yes,1300000,No,No,1
220,25,Private Sector/Self Employed,Yes,1700000,Yes,No,1
221,31,Government Sector,Yes,400000,No,No,0
222,28,Private Sector/Self Employed,Yes,800000,No,No,0
223,30,Private Sector/Self Employed,No,800000,No,No,0
224,29,Private Sector/Self Employed,Yes,900000,Yes,No,0
225,29,Private Sector/Self Employed,Yes,500000,No,No,0
226,29,Private Sector/Self Employed,Yes,900000,No,No,0
227,28,Private Sector/Self Employed,Yes,1150000,No,No,1
